cite_key,year,title,primary_bucket,has_pdf,extracted_pages,has_abstract,family,target,trust,data_source,doe_strategy,pattern,validation,workflow_context,complete_alluvial,complete_model_target_trust,complete_doe_pair
Lu2025740,2025,Advanced Probabilistic Transient Stability Assessment for Operational Planning: A Physics-Informed Graphical Learning Approach,B08_hybrid_pinn,no,0,yes,,Physical states or constraints,Physics-guided,,,,,Not explicitly identified,no,no,no
Franzoso2025,2025,Deep reinforcement learning as a tool for the analysis and optimization of energy flows in multi-energy systems,B06_neural_surrogates,yes,18,yes,,Decisions / solution-related objects,Decision-oriented,,,P3 solution proxy,Problem UQ,Not explicitly identified,no,no,no
Ren20252375,2025,Hybrid Model-Driven and Data-Driven Surrogate-Assisted Method for Transient Stability Preventive Control,B08_hybrid_pinn,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Tian2025,2025,EDformer family: End-to-end multi-task load forecasting frameworks for day-ahead economic dispatch,B06_neural_surrogates,no,0,yes,,Decisions / solution-related objects; Exogenous inputs,Decision-oriented; Predictive-error based,Historical data,,P3 solution proxy,Point metrics,Historical-data-driven workflow,no,no,no
Yang20251813,2025,Energy-efficient edge intelligence for task-dependency MEC power grid networks,B09_decision_focused_l2o,no,0,yes,,Decisions / solution-related objects,Decision-oriented,,,P3 solution proxy,,Not explicitly identified,no,no,no
Cestero2025,2025,Optimizing energy management of smart grid using reinforcement learning aided by surrogate models built using physics-informed neural networks,B06_neural_surrogates,no,0,yes,Neural network,Physical states or constraints,Physics-guided,,,,,Not explicitly identified,no,yes,no
Prasad2025,2025,Active and Reactive Power Control in Three-Phase Grid-Connected Electric Vehicles using Zebra Optimization Algorithm and Multimodal Adaptive Spatio-Temporal Graph Neural Network,B04_rbf_kernel,no,0,yes,Neural network,Physical states or constraints,Physics-guided,,,,,Not explicitly identified,no,yes,no
Karantoumanis2025377,2025,Optimizing concentrated solar power plants using adaptive sampling-based derivative-free algorithms,B10_doe_active_learning,no,0,yes,,,,,Adaptive sampling,P2 acceleration,,Not explicitly identified,no,no,no
Wang2024__2,2024,A method to bridge energy and process system optimization: Identifying the feasible operating space for a methanation process in power-to-gas energy systems,B07_constraint_aware,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Moradi2024108,2024,Learning to optimize power allocation in cell-free massive MIMO networks with hybrid green energy,B06_neural_surrogates,no,0,yes,,Decisions / solution-related objects,Decision-oriented,,,P3 solution proxy,,Not explicitly identified,no,no,no
Chi2024,2024,Hybrid model-data-driven dynamic VAR planning for wind-penetrated power system using spectral surrogate techniques,B08_hybrid_pinn,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
liang_high_2024,2024,High fidelity modeling of pumped storage units for optimal operation of a multi-energy co-generation system,B11_multi_fidelity,yes,15,yes,,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Rizqi2023,2023,Green energy mix modeling under supply uncertainty: Hybrid system dynamics and adaptive PSO approach,B09_decision_focused_l2o,no,0,yes,,Decisions / solution-related objects,Decision-oriented,,,P3 solution proxy,,Not explicitly identified,no,no,no
Chung2023,2023,MULTI-FIDELITY MODELING FOR DYNAMIC POWER CONTROL AND OPTIMIZATION OF NUCLEAR-RENEWABLE HYBRID ENERGY SYSTEMS,B02_gp_kriging,no,0,yes,GP / kriging,,,,Multi-fidelity training,,,Not explicitly identified,no,no,no
Chen2022__2,2022,OPTIMIZATION OF CORE PARAMETERS BASED ON ARTIFICIAL NEURAL NETWORK SURROGATE MODEL,B06_neural_surrogates,no,0,yes,Neural network,,,,,,,Not explicitly identified,no,no,no
Van Acker2022,2022,General polynomial chaos in the current–voltage formulation of the optimal power flow problem,B03_pce_response_surface,yes,6,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,,,P5 uncertainty,Problem UQ,Not explicitly identified,no,no,no
Yang2022,2022,Bayesian optimization for effective thermal conductivity measurement of thermal energy storage: An experimental and numerical approach,B02_gp_kriging,no,0,yes,GP / kriging,,Predictive-error based,,Active learning,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Dong2022197,2022,Surrogate-Assisted Cooperation Control of Network-Connected Doubly Fed Induction Generator Wind Farm with Maximized Reactive Power Capacity,B12_bayes_accel,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Lei2022,2022,Data-driven assisted chance-constrained energy and reserve scheduling with wind curtailment,B07_constraint_aware,no,0,yes,,Probability distributions / chance-constraint terms,,,,P5 uncertainty,,Not explicitly identified,no,no,no
Guo202115024,2021,An Alternative Learning-Based Approach for Economic Dispatch in Smart Grid,B06_neural_surrogates,yes,13,yes,Neural network,,Predictive-error based,,,P3 solution proxy,Point metrics,Not explicitly identified,no,no,no
García-Nieto20216627,2021,A new hybrid model to foretell thermal power efficiency from energy performance certificates at residential dwellings applying a Gaussian process regression,B02_gp_kriging,no,0,yes,GP / kriging,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Lin2021,2021,A Novel Hybrid Models Based on Gaussian Process Regression for Short-Term Wind Power Forecasting,B02_gp_kriging,no,0,yes,GP / kriging,Exogenous inputs,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Xu20203127,2020,An efficient multifidelity model for assessing risk probabilities in power systems under rare events,B03_pce_response_surface,no,0,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,,Multi-fidelity training,,,Not explicitly identified,no,no,no
Goudarzi2017667,2017,Smart real-time scheduling of generating units in an electricity market considering environmental aspects and physical constraints of generators,B04_rbf_kernel,yes,28,yes,RBF / kernel,Exogenous inputs; Objective values,Predictive-error based,Historical data,,P4 decomposition,Point metrics,Historical-data-driven workflow,yes,yes,no
